Date,ATM_ID,District,Location_Type,Manufacturer,ATM_Age_Yrs,Daily_Transactions,Failed_Transactions,Cash_Remaining_Pct,Cash_Loaded_Today,CardReader_Errors,CashDispenser_Errors,Cash_Jams,Printer_Errors,Paper_Remaining_Pct,CPU_Temp_C,CPU_Usage_Pct,Memory_Usage_Pct,Network_Latency_ms,Network_Drops,UPS_Battery_Pct,Power_Outages_7D,Days_Since_Maintenance,Previous_Failures_90D,Customer_Complaints_7D,Failure_Code,Failure_Next_48H,Predicted_Failure_Next_48H,Failure_Probability
2025-12-31,ATM159,2,3,0,4.1,647,24,54.0,0,1,1,0,0,33,54.0,34,65,40,1,92,0,21,6,0,0,0,0,2.0
2025-12-25,ATM043,9,5,0,9.3,702,30,25.0,0,1,1,0,0,54,43.0,44,61,39,0,87,2,16,1,0,0,0,0,2.0
2025-12-24,ATM139,6,5,2,8.7,490,24,100.0,1,1,1,1,1,63,43.8,32,61,18,4,92,0,47,3,0,0,0,0,2.0
2025-12-27,ATM176,0,4,2,4.3,565,24,37.0,0,2,2,1,0,100,44.2,56,81,60,1,74,0,78,0,0,0,0,0,2.0
2025-12-28,ATM244,0,0,2,4.3,291,4,63.0,1,2,1,1,2,46,44.1,34,65,79,0,100,1,89,0,3,0,0,0,2.0
2025-12-31,ATM149,8,5,0,9.0,148,0,54.0,0,0,0,1,2,31,44.5,76,75,45,0,73,0,0,0,2,0,0,0,2.0
2025-12-31,ATM275,9,5,1,9.1,500,7,59.0,0,1,1,0,0,47,54.1,41,60,51,0,65,3,64,0,2,0,0,0,2.0
2025-12-31,ATM010,3,2,0,1.5,720,13,85.0,1,1,2,1,0,61,43.4,55,56,53,0,100,1,0,0,0,0,0,0,2.0
2025-12-31,ATM110,4,1,2,5.8,394,10,100.0,1,0,0,1,1,52,40.2,41,71,60,1,87,0,53,0,0,0,0,0,2.0
2025-12-31,ATM296,5,2,1,3.0,506,16,41.0,0,2,2,1,2,84,46.4,31,55,10,0,87,0,68,0,1,0,0,0,2.0
2025-12-31,ATM263,0,1,2,4.1,535,15,59.0,1,2,1,0,1,93,48.1,54,55,10,6,100,3,21,1,3,0,0,0,2.0
2025-12-31,ATM249,9,0,2,3.1,125,3,16.0,0,0,0,1,2,75,51.0,47,41,38,3,87,0,38,1,1,0,0,0,2.0
2025-12-30,ATM082,1,0,0,5.8,367,11,27.0,0,1,2,0,0,65,47.2,34,53,99,2,97,3,6,0,0,0,0,0,2.0
2025-12-31,ATM030,4,0,2,9.5,422,10,59.0,0,0,0,1,2,86,46.7,24,42,10,1,98,1,47,2,0,0,0,0,2.0
2025-12-31,ATM138,1,4,2,2.4,584,23,51.0,0,2,2,0,1,70,53.1,46,76,147,2,77,3,77,2,1,0,0,0,2.0
2025-12-30,ATM126,7,1,2,9.2,695,21,54.0,1,2,1,0,2,43,44.5,45,49,56,4,94,0,5,2,0,0,0,0,2.0
2025-12-25,ATM268,4,5,2,5.0,574,10,64.0,0,0,1,0,2,100,54.6,53,69,25,2,73,0,37,1,1,0,0,0,2.0
2025-12-29,ATM199,0,2,2,8.2,642,23,92.0,1,0,1,0,1,84,49.1,35,80,-15,0,92,3,68,0,3,0,0,0,2.0
2025-12-29,ATM057,9,2,0,3.7,439,11,86.0,0,1,2,1,0,87,47.2,50,86,31,0,91,0,54,2,1,0,0,0,2.0
2025-12-29,ATM051,5,3,1,5.4,238,3,92.0,0,0,1,0,1,85,41.0,50,65,52,4,91,2,30,0,1,0,0,0,2.0
2025-12-21,ATM216,8,0,1,3.2,352,11,72.0,0,2,1,0,1,90,48.2,55,52,45,3,100,0,51,4,0,0,0,0,2.0
2025-12-30,ATM184,0,0,1,3.5,726,23,67.0,0,0,0,0,2,88,42.7,65,55,60,3,84,0,52,2,1,0,0,0,2.0
2025-12-29,ATM270,3,2,1,7.9,642,20,0.0,1,0,2,1,0,65,45.4,62,57,77,2,95,0,24,1,1,0,0,0,2.0
2025-12-26,ATM103,6,0,0,9.0,756,3,38.0,0,1,2,0,0,72,44.6,38,55,10,0,81,0,0,1,0,0,0,0,2.0
2025-12-30,ATM166,2,4,0,4.9,271,7,43.0,0,1,2,0,2,70,53.0,83,79,87,2,96,0,15,0,5,0,0,0,2.0
2025-12-31,ATM015,3,3,1,4.7,640,16,20.0,0,1,0,0,1,52,50.1,65,75,31,1,84,0,13,2,1,0,0,0,2.0
2025-12-29,ATM271,8,0,0,5.6,20,0,44.0,0,0,0,1,1,100,48.9,23,63,55,0,91,3,57,2,2,0,0,0,2.0
2025-12-30,ATM133,1,2,1,10.0,305,9,14.0,0,1,2,1,1,35,48.7,30,42,64,1,87,0,17,4,0,0,0,0,2.0
2025-12-30,ATM058,4,0,2,9.9,227,2,87.0,0,2,2,1,2,100,45.5,40,56,55,2,92,0,18,1,0,0,0,0,2.0
2025-12-28,ATM011,5,0,1,5.6,722,16,52.0,0,0,1,1,2,92,39.3,51,62,44,3,88,1,3,0,0,0,0,0,2.0
2025-12-28,ATM289,3,0,1,5.9,332,2,48.0,0,1,0,0,1,74,50.5,28,55,63,0,81,0,0,0,0,0,0,0,2.0
2025-12-31,ATM093,9,4,2,9.5,446,9,80.0,0,2,1,0,2,89,54.7,55,52,36,0,91,5,37,0,0,0,0,0,2.0
2025-12-22,ATM090,3,5,0,2.6,340,12,99.0,0,0,1,1,2,48,52.8,46,54,10,0,79,2,52,2,3,0,0,0,2.0
2025-12-29,ATM272,9,5,0,7.4,152,3,69.0,0,2,1,1,0,82,42.3,32,57,99,2,82,1,94,1,0,0,0,0,2.0
2025-12-31,ATM037,1,1,2,4.0,500,10,68.0,1,2,0,0,1,78,45.3,58,65,39,0,73,0,0,3,3,0,0,0,2.0
2025-12-31,ATM196,9,3,1,9.5,438,13,83.0,0,1,1,1,2,78,52.8,54,52,10,2,82,1,5,1,0,0,0,0,1.0
2025-12-31,ATM266,6,5,0,3.4,472,10,49.0,0,0,0,0,2,63,48.2,51,55,94,3,93,0,66,0,0,0,0,0,1.0
2025-12-31,ATM285,1,3,1,4.1,576,18,62.0,1,0,2,1,2,27,42.1,60,58,27,0,82,1,41,0,1,0,0,0,1.0
2025-12-31,ATM031,0,0,0,6.0,408,10,55.0,1,0,2,0,1,55,46.3,61,77,55,2,86,3,87,2,0,0,0,0,1.0
2025-12-31,ATM160,5,4,0,4.1,496,0,88.0,1,1,0,1,2,54,45.4,63,56,86,2,94,2,12,2,0,0,0,0,1.0
2025-12-26,ATM106,2,1,2,6.8,589,19,65.0,0,1,0,0,2,100,42.4,15,50,104,2,89,0,30,3,2,0,0,0,1.0
2025-12-26,ATM151,4,5,2,5.0,485,9,54.0,0,1,1,1,0,32,50.5,39,48,28,2,90,3,36,3,0,0,0,0,1.0
2025-12-27,ATM235,1,1,2,2.2,316,5,52.0,1,1,1,0,2,100,39.8,37,55,23,1,92,2,140,4,0,0,0,0,1.0
2025-12-31,ATM016,9,2,0,5.6,577,13,85.0,0,0,2,0,2,68,47.4,57,49,74,0,91,0,26,0,0,0,0,0,1.0
2025-12-30,ATM076,8,4,1,4.0,697,31,45.0,1,0,0,1,2,42,49.0,62,63,84,2,95,0,6,0,0,0,0,0,1.0
2025-12-23,ATM128,2,5,2,6.7,371,16,61.0,0,1,0,0,1,89,50.2,48,59,48,0,91,0,76,3,0,0,0,0,1.0
2025-12-29,ATM220,9,1,2,5.3,424,0,65.0,0,1,1,0,0,91,48.1,46,82,104,0,95,1,34,0,4,0,0,0,1.0
2025-12-29,ATM158,7,0,0,3.4,413,3,58.0,1,0,1,1,2,87,45.6,45,51,21,3,99,0,14,4,0,0,0,0,1.0
2025-12-30,ATM157,4,5,2,7.1,421,1,58.0,0,1,2,0,2,41,43.4,34,57,17,0,75,3,37,0,0,0,0,0,1.0
2025-12-29,ATM164,8,3,2,3.0,468,14,60.0,0,2,0,1,1,93,38.7,53,66,65,0,80,2,99,2,0,0,0,0,1.0
2025-12-29,ATM054,6,0,1,3.9,515,19,56.0,1,1,2,1,2,88,52.0,50,50,62,1,77,0,17,0,0,0,0,0,1.0
2025-12-29,ATM134,5,5,2,2.5,579,18,50.0,1,1,0,0,1,64,38.3,46,65,151,0,87,1,35,0,1,0,0,0,1.0
2025-12-29,ATM101,0,5,1,8.2,359,15,48.0,0,0,0,1,2,47,34.3,55,58,61,2,85,0,55,0,0,0,0,0,1.0
2025-12-29,ATM084,6,0,2,9.9,206,9,55.0,0,2,0,0,2,47,46.8,40,76,97,0,83,1,33,0,0,0,0,0,1.0
2025-12-30,ATM241,7,0,2,3.7,577,2,55.0,0,1,2,0,0,64,45.2,45,64,33,1,100,0,42,4,2,0,0,0,1.0
2025-12-31,ATM171,4,2,1,3.5,604,14,58.0,0,2,0,0,0,70,47.3,53,71,72,1,89,1,10,0,0,0,0,0,1.0
2025-12-30,ATM250,6,2,1,8.2,567,21,42.0,1,0,2,0,1,72,48.4,44,52,40,1,73,1,38,2,1,0,0,0,1.0
2025-12-29,ATM147,3,1,2,1.7,29,0,23.0,0,2,1,1,1,55,41.8,65,56,54,1,100,0,21,4,3,0,0,0,1.0
2025-12-30,ATM264,9,3,0,7.8,305,13,68.0,0,1,0,0,1,73,40.3,43,73,26,0,100,0,27,5,0,0,0,0,1.0
2025-12-31,ATM231,6,1,2,8.9,423,7,67.0,0,2,0,1,0,76,40.3,12,48,69,0,81,0,63,1,0,0,0,0,1.0
2025-12-31,ATM097,2,1,1,9.4,429,12,58.0,1,0,1,0,1,80,49.1,53,53,52,1,90,0,40,1,0,0,0,0,1.0
2025-12-30,ATM226,8,1,2,9.3,252,11,56.0,0,2,0,1,0,100,41.0,57,49,80,0,94,0,24,0,0,0,0,0,1.0
2025-12-31,ATM210,5,4,0,2.9,453,19,62.0,0,1,0,1,2,48,50.4,78,69,77,0,86,0,47,0,1,0,0,0,1.0
2025-12-28,ATM254,6,0,0,2.6,482,9,8.0,0,0,0,0,0,83,50.3,68,57,34,3,76,2,63,2,0,0,0,0,1.0
2025-12-25,ATM299,4,2,0,2.6,427,11,56.0,0,2,0,1,1,57,45.5,39,48,10,2,89,2,46,0,4,0,0,0,1.0
2025-12-28,ATM203,4,1,0,1.5,434,17,45.0,0,1,0,1,0,86,46.1,48,66,78,0,71,0,33,0,0,0,0,0,1.0
2025-12-30,ATM228,8,3,1,9.5,174,3,81.0,0,1,1,1,1,73,45.1,30,52,150,0,87,0,10,3,0,0,0,0,1.0
2025-12-31,ATM131,6,0,1,2.9,492,15,24.0,0,0,2,0,2,70,40.9,58,63,45,2,79,3,80,0,0,0,0,0,1.0
2025-12-31,ATM095,3,0,1,8.5,573,2,58.0,0,2,2,1,2,67,50.8,43,47,152,0,98,2,79,1,1,0,0,0,1.0
2025-12-31,ATM156,6,5,2,2.6,491,18,49.0,0,1,2,0,1,85,42.4,53,81,69,0,100,0,6,1,1,0,0,0,1.0
2025-12-31,ATM227,4,0,0,5.7,361,3,29.0,1,2,0,1,1,83,47.5,39,46,112,3,83,0,66,1,1,0,0,0,1.0
2025-12-31,ATM211,4,3,0,5.2,265,0,81.0,1,1,0,1,1,50,38.0,21,51,40,0,100,0,77,0,1,0,0,0,1.0
2025-12-31,ATM004,5,5,0,5.6,230,8,85.0,1,2,1,0,1,45,48.1,59,53,95,2,98,1,26,5,1,0,0,0,1.0
2025-12-28,ATM007,2,1,0,6.8,361,6,34.0,0,0,2,1,1,70,49.2,35,60,10,0,81,3,4,2,1,0,0,0,1.0
2025-12-30,ATM142,4,0,0,3.6,533,23,46.0,0,1,1,1,2,91,47.7,57,64,98,2,83,0,90,0,1,0,0,0,1.0
2025-12-28,ATM023,1,4,2,7.4,574,3,48.0,0,1,1,0,1,52,43.2,66,70,52,1,71,3,82,0,1,0,0,0,1.0
2025-12-30,ATM189,7,5,1,7.9,674,32,32.0,0,0,0,0,1,44,46.2,38,55,43,4,94,0,65,0,0,0,0,0,1.0
2025-12-31,ATM122,8,5,0,5.8,395,17,37.0,0,0,1,1,0,50,40.6,32,50,71,2,83,0,59,1,3,0,0,0,0.0
2025-12-31,ATM198,9,0,0,9.5,755,19,31.0,0,1,1,1,0,59,53.3,68,61,59,1,75,1,80,2,0,0,0,0,0.0
2025-12-31,ATM136,2,5,1,1.5,383,16,95.0,0,2,2,1,0,60,43.4,65,62,30,0,84,3,52,0,0,0,0,0,0.0
2025-12-31,ATM213,5,4,2,9.6,389,4,54.0,0,2,2,1,0,72,44.1,43,59,54,1,77,3,34,4,2,0,0,0,0.0
2025-12-24,ATM048,8,1,0,5.6,332,5,80.0,1,0,1,0,2,31,41.7,35,62,113,0,91,2,0,0,2,0,0,0,0.0
2025-12-24,ATM281,6,4,1,4.5,352,9,82.0,0,2,1,1,2,84,45.7,43,63,10,6,93,1,47,0,0,0,0,0,0.0
2025-12-31,ATM300,1,0,2,8.5,638,21,27.0,0,1,1,0,2,82,45.0,64,71,33,1,78,0,11,3,1,0,0,0,0.0
2025-12-29,ATM096,9,5,1,6.6,233,3,71.0,1,2,2,1,0,55,44.5,50,49,26,2,84,3,34,2,1,0,0,0,0.0
2025-12-31,ATM182,9,3,2,3.6,126,3,41.0,0,2,0,0,1,64,46.0,50,60,51,0,74,4,70,2,0,0,0,0,0.0
2025-12-29,ATM234,8,3,0,4.0,488,1,57.0,0,0,2,0,0,49,54.0,14,57,39,0,87,0,11,2,1,0,0,0,0.0
2025-12-28,ATM035,1,2,0,2.4,462,9,28.0,1,1,1,1,1,82,44.9,33,62,59,2,95,0,6,1,3,0,0,0,0.0
2025-12-30,ATM255,0,4,1,3.6,273,12,61.0,1,2,0,0,0,54,41.9,62,48,62,0,70,0,1,0,1,0,0,0,0.0
2025-12-28,ATM232,0,4,1,1.8,551,5,62.0,1,2,2,0,1,69,43.2,50,72,62,4,78,0,84,0,0,0,0,0,0.0
2025-12-30,ATM292,1,3,2,7.3,548,26,62.0,0,0,1,1,2,66,49.7,75,45,97,1,82,3,36,1,1,0,0,0,0.0
2025-12-29,ATM256,1,0,1,3.9,680,10,69.0,0,0,1,1,2,52,49.0,32,67,29,3,100,0,12,0,0,0,0,0,0.0
2025-12-30,ATM295,8,5,0,7.1,322,12,50.0,0,2,0,0,2,74,44.5,38,73,10,0,78,0,25,0,0,0,0,0,0.0
2025-12-30,ATM141,6,5,1,1.8,602,14,59.0,0,0,0,1,2,65,50.9,57,45,37,2,83,0,51,0,0,0,0,0,0.0
2025-12-26,ATM219,1,5,2,4.9,444,7,39.0,0,0,1,1,1,49,46.7,55,69,10,3,78,2,7,0,2,0,0,0,0.0
2025-12-30,ATM146,1,3,2,9.3,266,8,23.0,0,2,1,1,0,48,50.4,50,58,10,3,93,0,65,0,0,0,0,0,0.0
2025-12-30,ATM135,0,0,0,8.9,537,23,72.0,0,1,1,0,1,59,45.5,42,68,32,3,86,0,45,1,0,0,0,0,0.0
2025-12-30,ATM276,9,0,0,7.5,616,12,50.0,0,0,1,1,2,63,43.9,41,41,91,0,84,1,52,0,1,0,0,0,0.0
2025-12-29,ATM068,6,5,2,9.1,716,4,33.0,0,0,0,0,0,76,45.5,43,54,23,0,90,2,95,4,2,0,0,0,0.0
2025-12-29,ATM112,4,5,1,8.0,442,20,52.0,0,1,1,0,2,58,45.8,56,76,10,2,78,0,15,0,0,0,0,0,0.0
2025-12-30,ATM036,1,0,0,9.1,235,4,41.0,1,1,0,0,1,62,41.7,58,57,85,0,95,2,63,0,0,0,0,0,0.0
2025-12-28,ATM152,9,1,0,9.6,461,18,51.0,0,1,2,0,0,70,37.7,34,63,116,0,86,2,5,2,1,0,0,0,0.0
2025-12-28,ATM212,5,2,1,5.7,576,21,77.0,0,0,1,0,2,82,43.9,54,59,90,0,96,2,42,0,0,0,0,0,0.0
2025-12-28,ATM113,7,3,1,9.7,510,24,79.0,0,0,1,1,1,98,48.0,70,62,73,0,94,2,18,2,0,0,0,0,0.0
2025-12-31,ATM116,0,5,0,9.4,544,6,40.0,1,2,2,0,1,77,47.5,40,59,14,1,89,1,54,0,3,0,0,0,0.0
2025-12-31,ATM120,5,2,0,5.0,155,0,49.0,0,0,1,0,1,93,51.0,39,58,124,2,78,1,28,1,5,0,0,0,0.0
2025-12-31,ATM009,9,5,0,4.6,151,0,63.0,0,2,2,1,2,95,45.9,56,66,74,2,79,1,0,2,1,0,0,0,0.0
2025-12-31,ATM021,5,4,2,2.3,356,8,82.0,1,2,2,1,0,83,49.0,23,56,122,0,87,2,64,1,0,0,0,0,0.0
2025-12-28,ATM047,5,3,0,9.4,484,3,65.0,0,2,0,1,0,82,44.3,59,66,49,1,77,0,35,2,0,0,0,0,0.0
2025-12-31,ATM150,0,4,2,5.9,497,7,35.0,0,1,0,0,1,84,54.9,61,62,59,2,89,0,7,0,2,0,0,0,0.0
2025-12-27,ATM034,3,2,0,4.6,379,3,46.0,0,0,2,0,2,62,44.5,69,57,12,0,75,1,11,3,3,0,0,0,0.0
2025-12-27,ATM204,8,1,0,6.2,373,4,44.0,1,2,1,0,2,60,43.5,39,49,136,1,78,0,51,0,0,0,0,0,0.0
2025-12-31,ATM168,6,4,1,8.8,348,5,50.0,0,2,1,0,1,70,35.8,40,62,65,4,88,0,88,0,2,0,0,0,0.0
2025-12-27,ATM064,3,3,1,3.3,298,0,53.0,0,2,1,0,1,68,42.2,52,62,19,2,100,0,91,2,1,0,0,0,0.0
2025-12-31,ATM242,9,0,0,3.9,327,10,30.0,0,2,1,1,2,90,39.9,33,69,56,0,100,0,70,3,1,0,0,0,0.0
2025-12-31,ATM287,0,0,1,3.0,238,2,60.0,0,0,1,1,2,48,42.8,24,61,51,0,83,0,41,1,0,0,0,0,0.0
2025-12-31,ATM253,7,0,1,4.5,233,3,99.0,0,1,1,1,2,100,41.3,51,56,18,0,83,2,28,1,1,0,0,0,0.0
2025-12-27,ATM052,6,1,0,5.2,342,6,40.0,1,0,1,0,2,85,50.5,37,71,18,0,83,0,51,2,0,0,0,0,0.0
2025-12-31,ATM209,4,5,2,5.8,510,6,88.0,0,0,1,1,1,94,49.6,49,69,68,3,100,4,80,5,0,0,0,0,0.0
